3062: /app/bin/hmi 0
Address		  Kbytes     PSS   Dirty    Swap  Mode  Mapping
0000007e6abae000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e6abb0000      32      28      28       0  rw-s  /dev/kgsl-3d0
0000007e6abb8000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e6abba000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e6abbe000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e6abc2000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e6abca000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e6abe4000     128     120     120       0  rw-s  /dev/kgsl-3d0
0000007e6ac04000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e6ac0a000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e6ac10000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e6ac1e000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e6ac20000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e6ac2e000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e6ac30000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e6ac3e000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e6ac40000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e6ac4e000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e6ac50000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e6ac60000      64      40      40       0  rw-s  /dev/kgsl-3d0
0000007e6ac8c000      64      12      12       0  rw-s  /dev/kgsl-3d0
0000007e6aca0000     128     120     120       0  rw-s  /dev/kgsl-3d0
0000007e6acc0000     128      80      80       0  rw-s  /dev/kgsl-3d0
0000007e6ace0000     128     120     120       0  rw-s  /dev/kgsl-3d0
0000007e6ad00000      64      48      48       0  rw-s  /dev/kgsl-3d0
0000007e6ad15000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e6ad1d000     128     120     120       0  rw-s  /dev/kgsl-3d0
0000007e6ad3d000     128     120     120       0  rw-s  /dev/kgsl-3d0
0000007e6ad5d000     556      25       0       0  r-xp  /usr/lib/libvorbisenc.so.2.0.11
0000007e6ade8000      60       0       0       0  ---p  /usr/lib/libvorbisenc.so.2.0.11
0000007e6adf7000      92      92      92       0  r--p  /usr/lib/libvorbisenc.so.2.0.11
0000007e6ae0e000       4       4       4       0  rw-p  /usr/lib/libvorbisenc.so.2.0.11
0000007e6ae0f000      64      40      40       0  rw-s  /dev/kgsl-3d0
0000007e6ae20000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e6ae2d000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e6ae43000     128     120     120       0  rw-s  /dev/kgsl-3d0
0000007e6ae63000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e6ae6e000     128     120     120       0  rw-s  /dev/kgsl-3d0
0000007e6ae8e000     128     120     120       0  rw-s  /dev/kgsl-3d0
0000007e6aeae000     128     120     120       0  rw-s  /dev/kgsl-3d0
0000007e6aece000     264     256     256       0  rw-s  /dev/kgsl-3d0
0000007e6af29000     128     120     120       0  rw-s  /dev/kgsl-3d0
0000007e6af49000      64      40      40       0  rw-s  /dev/kgsl-3d0
0000007e6af59000      64      40      40       0  rw-s  /dev/kgsl-3d0
0000007e6af69000     128     108     108       0  rw-s  /dev/kgsl-3d0
0000007e6af89000     108      35       0       0  r-xp  /usr/lib/gconv/GBK.so
0000007e6afa4000      64       0       0       0  ---p  /usr/lib/gconv/GBK.so
0000007e6afb4000       4       4       4       0  r--p  /usr/lib/gconv/GBK.so
0000007e6afb5000       4       4       4       0  rw-p  /usr/lib/gconv/GBK.so
0000007e6afbe000      64      40      40       0  rw-s  /dev/kgsl-3d0
0000007e6afd4000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e6afde000     128     108     108       0  rw-s  /dev/kgsl-3d0
0000007e6affe000       4       0       0       0  ---p    [ anon ]
0000007e6afff000    8192     248     248       0  rw-p    [ anon ]
0000007e6b7ff000       4       0       0       0  ---p    [ anon ]
0000007e6b800000    8192      28      28       0  rw-p    [ anon ]
0000007e6c000000     792     792     792       0  rw-p    [ anon ]
0000007e6c0c6000   64744       0       0       0  ---p    [ anon ]
0000007e70000000    9464    9464    9464       0  rw-p    [ anon ]
0000007e7093e000   56072       0       0       0  ---p    [ anon ]
0000007e74000000    4304    4304    4304       0  rw-p    [ anon ]
0000007e74434000   61232       0       0       0  ---p    [ anon ]
0000007e78000000    4276    4276    4276       0  rw-p    [ anon ]
0000007e7842d000   61260       0       0       0  ---p    [ anon ]
0000007e7c000000    1140    1140    1140       0  rw-p    [ anon ]
0000007e7c11d000   64396       0       0       0  ---p    [ anon ]
0000007e80000000    1996    1996    1996       0  rw-p    [ anon ]
0000007e801f3000   63540       0       0       0  ---p    [ anon ]
0000007e84000000   10352   10352   10352       0  rw-p    [ anon ]
0000007e84a1c000   55184       0       0       0  ---p    [ anon ]
0000007e88000000     320     312     312       0  rw-p    [ anon ]
0000007e88050000   65216       0       0       0  ---p    [ anon ]
0000007e8c000000       4       4       4       0  rw-s  /dev/kgsl-3d0
0000007e8c001000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e8c003000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e8c005000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e8c007000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e8c009000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e8c00b000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e8c00d000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e8c00f000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e8c011000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e8c013000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e8c015000      64      40      40       0  rw-s  /dev/kgsl-3d0
0000007e8c025000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e8c029000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e8c02d000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e8c033000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e8c037000     128     128     128       0  rw-s  /dev/kgsl-3d0
0000007e8c058000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e8c05e000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e8c060000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e8c064000     128     108     108       0  rw-s  /dev/kgsl-3d0
0000007e8c084000      64      40      40       0  rw-s  /dev/kgsl-3d0
0000007e8c09c000     140     140     140       0  rw-s  /dev/kgsl-3d0
0000007e8c0bf000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e8c0c1000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e8c0cc000       8       4       4       0  rw-s  /dev/kgsl-3d0
0000007e8c0d4000     128     108     108       0  rw-s  /dev/kgsl-3d0
0000007e8c0f4000    7192     952       0       0  r-xp  /lib/libavcodec.so.58.54.100
0000007e8c7fa000      60       0       0       0  ---p  /lib/libavcodec.so.58.54.100
0000007e8c809000     204     204     204       0  r--p  /lib/libavcodec.so.58.54.100
0000007e8c83c000     156     156     156       0  rw-p  /lib/libavcodec.so.58.54.100
0000007e8c863000    7772     276     276       0  rw-p    [ anon ]
0000007e8cffa000       4       0       0       0  ---p    [ anon ]
0000007e8cffb000    8192      24      24       0  rw-p    [ anon ]
0000007e8d7fb000       4       0       0       0  ---p    [ anon ]
0000007e8d7fc000    8192      24      24       0  rw-p    [ anon ]
0000007e8dffc000       4       0       0       0  ---p    [ anon ]
0000007e8dffd000    8192      24      24       0  rw-p    [ anon ]
0000007e8e7fd000       4       0       0       0  ---p    [ anon ]
0000007e8e7fe000    8192      16      16       0  rw-p    [ anon ]
0000007e8effe000       4       0       0       0  ---p    [ anon ]
0000007e8efff000    8192      20      20       0  rw-p    [ anon ]
0000007e8f7ff000       4       0       0       0  ---p    [ anon ]
0000007e8f800000    8192      20      20       0  rw-p    [ anon ]
0000007e90000000     348     344     344       0  rw-p    [ anon ]
0000007e90057000   65188       0       0       0  ---p    [ anon ]
0000007e94000000    1096    1096    1096       0  rw-p    [ anon ]
0000007e94112000   64440       0       0       0  ---p    [ anon ]
0000007e98000000     204     204     204       0  rw-p    [ anon ]
0000007e98033000   65332       0       0       0  ---p    [ anon ]
0000007e9c000000    2320    2320    2320       0  rw-p    [ anon ]
0000007e9c244000   63216       0       0       0  ---p    [ anon ]
0000007ea0000000     260     260     260       0  rw-p    [ anon ]
0000007ea0041000   65276       0       0       0  ---p    [ anon ]
0000007ea4000000     680     680     680       0  rw-p    [ anon ]
0000007ea40aa000   64856       0       0       0  ---p    [ anon ]
0000007ea8000000     244     244     244       0  rw-p    [ anon ]
0000007ea803d000   65292       0       0       0  ---p    [ anon ]
0000007eac000000     420     352     352       0  rw-p    [ anon ]
0000007eac069000   65116       0       0       0  ---p    [ anon ]
0000007eb0000000    1348    1348    1348       0  rw-p    [ anon ]
0000007eb0151000   64188       0       0       0  ---p    [ anon ]
0000007eb4000000     540     540     540       0  rw-p    [ anon ]
0000007eb4087000   64996       0       0       0  ---p    [ anon ]
0000007eb8000000    1140    1140    1140       0  rw-p    [ anon ]
0000007eb811d000   64396       0       0       0  ---p    [ anon ]
0000007ebc000000     956     956     956       0  rw-p    [ anon ]
0000007ebc0ef000   64580       0       0       0  ---p    [ anon ]
0000007ec0000000   65184   63528   63528       0  rw-p    [ anon ]
0000007ec3fa8000     352       0       0       0  ---p    [ anon ]
0000007ec4000000     540     540     540       0  rw-p    [ anon ]
0000007ec4087000   64996       0       0       0  ---p    [ anon ]
0000007ec8000000     428     364     364       0  rw-p    [ anon ]
0000007ec806b000   65108       0       0       0  ---p    [ anon ]
0000007ecc000000    1012    1012    1012       0  rw-p    [ anon ]
0000007ecc0fd000   64524       0       0       0  ---p    [ anon ]
0000007ed0000000     800     800     800       0  rw-p    [ anon ]
0000007ed00c8000   64736       0       0       0  ---p    [ anon ]
0000007ed4000000     668     668     668       0  rw-p    [ anon ]
0000007ed40a7000   64868       0       0       0  ---p    [ anon ]
0000007ed8000000     372     364     364       0  rw-p    [ anon ]
0000007ed805d000   65164       0       0       0  ---p    [ anon ]
0000007edc000000     204     204     204       0  rw-p    [ anon ]
0000007edc033000   65332       0       0       0  ---p    [ anon ]
0000007ee0000000     352     344     344       0  rw-p    [ anon ]
0000007ee0058000   65184       0       0       0  ---p    [ anon ]
0000007ee4000000     556     556     556       0  rw-p    [ anon ]
0000007ee408b000   64980       0       0       0  ---p    [ anon ]
0000007ee8000000     224     224     224       0  rw-p    [ anon ]
0000007ee8038000   65312       0       0       0  ---p    [ anon ]
0000007eec000000   10964   10964   10964       0  rw-p    [ anon ]
0000007eecab5000   54572       0       0       0  ---p    [ anon ]
0000007ef0000000     380     372     372       0  rw-p    [ anon ]
0000007ef005f000   65156       0       0       0  ---p    [ anon ]
0000007ef4000000    1104    1104    1104       0  rw-p    [ anon ]
0000007ef4114000   64432       0       0       0  ---p    [ anon ]
0000007ef8000000     712     712     712       0  rw-p    [ anon ]
0000007ef80b2000   64824       0       0       0  ---p    [ anon ]
0000007efc000000    1176    1176    1176       0  rw-p    [ anon ]
0000007efc126000   64360       0       0       0  ---p    [ anon ]
