3791: mediaservice 0 0
Address		  Kbytes     PSS   Dirty    Swap  Mode  Mapping
0000007f88037000      60       0       0       0  ---p  /lib/libavcodec.so.58.54.100
0000007f88046000     204     204     204       0  r--p  /lib/libavcodec.so.58.54.100
0000007f88079000     156     156     156       0  rw-p  /lib/libavcodec.so.58.54.100
0000007f880a0000    7772     276     276       0  rw-p    [ anon ]
0000007f88837000     840     184       0       0  r-xp  /lib/libavformat.so.58.29.100
0000007f88909000      60       0       0       0  ---p  /lib/libavformat.so.58.29.100
0000007f88918000      52      52      52       0  r--p  /lib/libavformat.so.58.29.100
0000007f88925000      40      40      40       0  rw-p  /lib/libavformat.so.58.29.100
0000007f8892f000    1752     160       0       0  r-xp  /lib/libavfilter.so.7.57.100
0000007f88ae5000      60       0       0       0  ---p  /lib/libavfilter.so.7.57.100
0000007f88af4000     344     344     344       0  r--p  /lib/libavfilter.so.7.57.100
0000007f88b4a000      44      44      44       0  rw-p  /lib/libavfilter.so.7.57.100
0000007f88b55000      16       0       0       0  rw-p    [ anon ]
0000007f88b59000     220      74       0       0  r-xp  /usr/lib/gstreamer-1.0/libgstlibav.so
0000007f88b90000      60       0       0       0  ---p  /usr/lib/gstreamer-1.0/libgstlibav.so
0000007f88b9f000       8       8       8       0  r--p  /usr/lib/gstreamer-1.0/libgstlibav.so
0000007f88ba1000       4       4       4       0  rw-p  /usr/lib/gstreamer-1.0/libgstlibav.so
0000007f88ba2000       4       0       0       0  ---p    [ anon ]
0000007f88ba3000    8192      24      24       0  rw-p    [ anon ]
0000007f893a3000     116      39       0       0  r-xp  /usr/lib/gstreamer-1.0/libgstaudioparsers.so
0000007f893c0000      64       0       0       0  ---p  /usr/lib/gstreamer-1.0/libgstaudioparsers.so
0000007f893d0000       4       4       4       0  r--p  /usr/lib/gstreamer-1.0/libgstaudioparsers.so
0000007f893d1000       4       4       4       0  rw-p  /usr/lib/gstreamer-1.0/libgstaudioparsers.so
0000007f893d2000       4       0       0       0  ---p    [ anon ]
0000007f893d3000    8192      24      24       0  rw-p    [ anon ]
0000007f89bd3000      12       3       0       0  r-xp  /usr/lib/gstreamer-1.0/libgstid3demux.so
0000007f89bd6000      60       0       0       0  ---p  /usr/lib/gstreamer-1.0/libgstid3demux.so
0000007f89be5000       4       4       4       0  r--p  /usr/lib/gstreamer-1.0/libgstid3demux.so
0000007f89be6000       4       4       4       0  rw-p  /usr/lib/gstreamer-1.0/libgstid3demux.so
0000007f89be7000      92      30       0       0  r-xp  /usr/lib/gstreamer-1.0/libgsttypefindfunctions.so
0000007f89bfe000      60       0       0       0  ---p  /usr/lib/gstreamer-1.0/libgsttypefindfunctions.so
0000007f89c0d000       4       4       4       0  r--p  /usr/lib/gstreamer-1.0/libgsttypefindfunctions.so
0000007f89c0e000       8       8       8       0  rw-p  /usr/lib/gstreamer-1.0/libgsttypefindfunctions.so
0000007f8a357000      52      17       0       0  r-xp  /usr/lib/gstreamer-1.0/libgstvorbis.so
0000007f8a364000      60       0       0       0  ---p  /usr/lib/gstreamer-1.0/libgstvorbis.so
0000007f8a373000       4       4       4       0  r--p  /usr/lib/gstreamer-1.0/libgstvorbis.so
0000007f8a374000       4       4       4       0  rw-p  /usr/lib/gstreamer-1.0/libgstvorbis.so
0000007f8a375000     208      69       0       0  r-xp  /usr/lib/gstreamer-1.0/libgstogg.so
0000007f8a3a9000      64       0       0       0  ---p  /usr/lib/gstreamer-1.0/libgstogg.so
0000007f8a3b9000       8       8       8       0  r--p  /usr/lib/gstreamer-1.0/libgstogg.so
0000007f8a3bb000       4       4       4       0  rw-p  /usr/lib/gstreamer-1.0/libgstogg.so
0000007f8a3cf000       4       0       0       0  ---p    [ anon ]
