Mode    Mapping                                                           Kbytes    PSS  Dirty
0       r-xp /usr/lib/libeglSubDriverWayland.so                              204     35      0
0       r-xp /app/lib/liblocation.so.1.0.0                                   200     26      0
0       r-xp /usr/lib/libtheoraenc.so.1.1.2                                  184     25      0
0       r-xp /lib/libudev.so.1.6.16                                          184     23      0
0       r-xp /usr/lib/libvorbis.so.0.4.8                                     176     44      0
0       r-xp /app/lib/libkeylocater.so.0.0.1                                 176    160      0
0       r-xp /app/lib/libpersist.so.0.0.1                                    176      9      0
0       r-xp /app/lib/libdevice.so.1.0.0                                     172     24      0
0       r--p /usr/lib/libcrypto.so.1.1                                       164    164    164
0       r-xp /lib/libselinux.so.1                                            160      5      0
0       rw-p /lib/libavcodec.so.58.54.100                                    156    156    156
0       r-xp /lib/ld-2.31.so                                                 132      2      0
0       r-xp /usr/lib/libjsoncpp.so.1.0.0                                    128     80      0
0       r-xp /app/lib/liblogsystem.so.1.0.0                                  124    124      0
0       r-xp /usr/lib/libEGL_adreno.so                                       120     25      0
0       r-xp /usr/lib/gstreamer-1.0/libgstaudioparsers.so                    116     37      0
0       r-xp /usr/lib/libgbm.so                                              112     15      0
0       r-xp /app/lib/libcamera.so.1.0.0                                     112     28      0
0       r-xp /lib/libpthread-2.31.so                                         112      2      0
0       r-xp /usr/lib/gconv/GBK.so                                           108     35      0
0       r--p /usr/share/locale/zh_CN/LC_MESSAGES/glib20.mo                   108     92      0
0       r-xp /usr/lib/libboost_filesystem.so.1.72.0                          104      5      0
0       r-xp /lib/libusb-1.0.so.0.1.0                                        100     15      0
0       r--p /usr/lib/libvorbisenc.so.2.0.11                                  92     92     92
0       r-xp /usr/lib/gstreamer-1.0/libgsttypefindfunctions.so                92     30      0
0       rw-p /usr/lib/libGLESv2_adreno.so                                     92     80     80
0       r-xp /lib/libz.so.1.2.11                                              92      2      0
0       r-xp /usr/lib/libtheoradec.so.1.1.4                                   80     21      0
0       r-xp /lib/libgcc_s.so.1                                               80      3      0
0       r-xp /usr/lib/libtinyxml2.so.8.0.0                                    80     29      0
0       r-xp /usr/lib/gstreamer-1.0/libgstsubparse.so                         76     25      0
0       r-xp /usr/lib/libwayland-server.so.0.1.0                              76      8      0
0       r-xp /lib/libresolv-2.31.so                                           76      4      0
0       r-xp /app/lib/libbasic.so.1.0.0                                       76      4      0
0       r-xp /usr/lib/libadreno_utils.so                                      72      8      0
0       r-xp /usr/lib/libbz2.so.1.0.8                                         68     21      0
0       r-xp /lib/libswresample.so.3.5.100                                    68     21      0
0       r-xp /app/lib/libavinfo.so.1.0.0                                      68     16      0
0       ---p /usr/lib/gconv/GBK.so                                            64      0      0
0       rw-s /app_data/media/fileinfo.db-shm                                  64     32      0
0       ---p /usr/lib/gstreamer-1.0/libgstwavparse.so                         64      0      0
0       ---p /usr/lib/gstreamer-1.0/libgstogg.so                              64      0      0
0       ---p /usr/lib/libogg.so.0.8.4                                         64      0      0
0       ---p /lib/libswresample.so.3.5.100                                    64      0      0
0       ---p /usr/lib/gstreamer-1.0/libgstaudioparsers.so                     64      0      0
0       ---p /usr/lib/gstreamer-1.0/libgstcoreelements.so                     64      0      0
0       ---p /usr/lib/gstreamer-1.0/libgstplayback.so                         64      0      0
0       r-xp /usr/lib/gstreamer-1.0/libgstflac.so                             64     21      0
0       ---p /usr/lib/gstreamer-1.0/libgstflac.so                             64      0      0
0       ---p /usr/lib/gstreamer-1.0/libgstsubparse.so                         64      0      0
0       ---p /usr/lib/libeglSubDriverWayland.so                               64      0      0
0       ---p /usr/lib/liborc-0.4.so.0.25.0                                    64      0      0
0       ---p /lib/libblkid.so.1.1.0                                           64      0      0
0       ---p /usr/lib/libgstreamer-1.0.so.0.1603.0                            64      0      0
0       ---p /usr/lib/libgstaudio-1.0.so.0.1603.0                             64      0      0
0       ---p /lib/libresolv-2.31.so                                           64      0      0
0       ---p /lib/libselinux.so.1                                             64      0      0
0       ---p /lib/libmount.so.1.1.0                                           64      0      0
0       ---p /app/lib/libjpeg.so.1.0.8                                        64      0      0
0       ---p /app/lib/libraw.so.1.8.93                                        64      0      0
0       ---p /usr/lib/libgsl.so                                               64      0      0
0       ---p /usr/lib/libadreno_utils.so                                      64      0      0
0       ---p /usr/lib/libcrypto.so.1.1                                        64      0      0
0       ---p /usr/lib/libgstcontroller-1.0.so.0.1603.0                        64      0      0
0       ---p /usr/lib/libgstpbutils-1.0.so.0.1603.0                           64      0      0
0       ---p /app/lib/libipcassistant.so.0.0.1                                64      0      0
0       ---p /usr/lib/libgio-2.0.so.0.6200.6                                  64      0      0
0       ---p /lib/libusb-1.0.so.0.1.0                                         64      0      0
